2021-10-18 17:02:57,734 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/rafaella/Documentos/repositorios/Trabalho_TDD_TPPE/projeto1-tdd/src/test/resources
2021-10-18 17:03:03,638 [Worker-3: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-10-18 17:03:03,638 [Worker-3: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/rafaella/Documentos/repositorios/Trabalho_TDD_TPPE/projeto1-tdd/src/main/resources
2021-10-18 17:03:03,639 [Worker-3: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-10-18 17:03:03,640 [Worker-3: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/rafaella/Documentos/repositorios/Trabalho_TDD_TPPE/projeto1-tdd/src/test/resources
2021-10-18 17:06:30,217 [Worker-5: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-10-18 17:06:30,218 [Worker-5: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/rafaella/Documentos/repositorios/Trabalho_TDD_TPPE/projeto1-tdd/src/main/resources
2021-10-18 17:06:30,219 [Worker-5: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-10-18 17:06:30,219 [Worker-5: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/rafaella/Documentos/repositorios/Trabalho_TDD_TPPE/projeto1-tdd/src/test/resources
2021-10-18 17:06:36,767 [Worker-5: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-10-18 17:06:36,768 [Worker-5: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/rafaella/Documentos/repositorios/Trabalho_TDD_TPPE/projeto1-tdd/src/main/resources
2021-10-18 17:06:36,769 [Worker-5: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-10-18 17:06:36,770 [Worker-5: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/rafaella/Documentos/repositorios/Trabalho_TDD_TPPE/projeto1-tdd/src/test/resources
2021-10-18 17:07:46,446 [Worker-5: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
